housing_area_id	comfort_goal	comfort_reward
HOUSING_AREA_00	[100, 200, 400, 600, 0]	['Weather Vane', '', 'Wall Lamp D', '', '']
HOUSING_AREA_01	[100, 200, 400, 600, 0]	['Well', 'Switch A', '', '', '']
HOUSING_AREA_02	[100, 200, 400, 600, 0]	['Shooting Target A', '', '', 'Small Wall Decor B', '']
HOUSING_AREA_03	[100, 200, 400, 600, 800]	['Fruit Tree', '', 'Wooden Shelf C', 'Dresser B', '']
HOUSING_AREA_04	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_05	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_06	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_07	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_08	[50, 0, 0, 0, 0]	['Fishing Pond', '', '', '', '']
HOUSING_AREA_09	[50, 100, 0, 0, 0]	['Grass A', 'Tapestry B', '', '', '']
HOUSING_AREA_10	[50, 0, 0, 0, 0]	['Gate', '', '', '', '']
HOUSING_AREA_11	[50, 100, 0, 0, 0]	['Stone E', 'Long Desk', '', '', '']
HOUSING_AREA_12	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_13	[100, 200, 400, 600, 0]	['Puni Mat', '', '', 'Picture D', '']
HOUSING_AREA_14	[100, 200, 400, 600, 0]	['Quarry', 'Round Carpet B', '', '', '']
HOUSING_AREA_15	[100, 200, 400, 600, 0]	['Mushroom Log', '', 'Writing Desk', '', '']
HOUSING_AREA_16	[100, 200, 400, 600, 800]	['Alstahlia Flower', '', '', '', '']
HOUSING_AREA_17	[50, 100, 0, 0, 0]	['Grass B', 'Chair C', '', '', '']
HOUSING_AREA_18	[50, 0, 0, 0, 0]	['Stone C', '', '', '', '']
HOUSING_AREA_19	[50, 100, 0, 0, 0]	['Stone D', 'Bench', '', '', '']
HOUSING_AREA_20	[50, 0, 0, 0, 0]	['Lamp D', '', '', '', '']
HOUSING_AREA_21	[50, 100, 0, 0, 0]	['Tree A', 'Decorative Ball', '', '', '']
HOUSING_AREA_22	[100, 200, 400, 600, 0]	['Music Box A', 'Music Box G', '', '', '']
HOUSING_AREA_23	[100, 200, 400, 600, 0]	['Music Box B', '', 'Music Box H', '', '']
HOUSING_AREA_24	[100, 200, 400, 600, 0]	['Music Box C', '', '', 'Music Box I', '']
HOUSING_AREA_25	[100, 200, 400, 600, 800]	['Shooting Target B', '', 'Mini Stage', '', '']
HOUSING_AREA_26	[100, 200, 400, 600, 0]	['Music Box D', '', '', 'Music Box J', '']
HOUSING_AREA_27	[100, 200, 400, 600, 0]	['Music Box E', '', 'Music Box K', '', '']
HOUSING_AREA_28	[100, 200, 400, 600, 0]	['Music Box F', 'Music Box L', '', '', '']
HOUSING_AREA_29	[100, 200, 400, 600, 0]	['Magical Potted Plant', '', '', '', '']
HOUSING_AREA_30	[100, 200, 400, 600, 0]	['Shooting Target C', '', '', '', '']
HOUSING_AREA_31	[100, 200, 400, 600, 0]	['Colored Light', '', '', '', '']
HOUSING_AREA_32	[50, 100, 0, 0, 0]	['Tree C', 'Resort Couch', '', '', '']
HOUSING_AREA_33	[50, 0, 0, 0, 0]	['Tree D', '', '', '', '']
HOUSING_AREA_34	[50, 100, 0, 0, 0]	['Stone F', 'Cute Bed', '', '', '']
HOUSING_AREA_35	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_36	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_37	[50, 100, 0, 0, 0]	['Tree B', 'Basic Carpet B', '', '', '']
HOUSING_AREA_38	[50, 100, 0, 0, 0]	['Tree E', 'Prism', '', '', '']
HOUSING_AREA_39	[50, 100, 0, 0, 0]	['Treasure', 'Big Carpet B', '', '', '']
HOUSING_AREA_40	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_41	[5, 10, 15, 200, 300]	['', '', '', 'Chair D', '']
HOUSING_AREA_XQ01_130	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_XQ01_300	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_XQ01_380	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_MM02_100	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_CM02_060	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_CM03_070	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_CM03_160	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_MM04_040	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_PRESET_EDIT	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_XQ03_240	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_XQ04_260	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_XQ04_280	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_EX01	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_RM01_340	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_RM02_300	[0, 0, 0, 0, 0]	['', '', '', '', '']
HOUSING_AREA_RM03_110	[0, 0, 0, 0, 0]	['', '', '', '', '']
